name,price,score,reviews
Sai Nidhi By Glitz Hotels - Mindspace Airoli,$23,Scored 7.8,12
"The Gordon House Hotel, Colaba",$105,Scored 7.9,684
Ginger Mumbai Airport,$99,Scored 7.4,1023
Goldfinch Hotel Mumbai,$83,Scored 7.1,128
"Aurika, Mumbai International Airport",$135,Scored 8.5,671
Moxy Mumbai Andheri West,$127,Scored 8.9,106
"Lemon Tree Premier, Malad, Mumbai",$93,Scored 7.9,74
"Ginger Mumbai, Goregaon",$67,Scored 8.1,599
"The Taj Mahal Tower, Mumbai",$259,Scored 9.1,5303
Astoria Hotel,$127,Scored 8.4,158
Backpacker Cowies,$69,Scored 8.3,1346
Vibes Inn Juhu,$36,Scored 5.9,49
T24 Residency Mumbai International Airport Hotel,$75,Scored 7.2,380
Hotel Kohinoor Elite near BKC,$71,Scored 8.0,592
Hotel Heritage formerly known as Comfort Inn Heritage,$78,Scored 7.5,468
Hotel Harbour View Colaba,$85,Scored 8.2,942
Hotel Jewel of Chembur,$86,Scored 7.6,96
Club Emerald,$84,Scored 6.8,56
"Hotel Diplomat, Colaba",$86,Scored 7.1,287
Hotel Enigma Inn,$37,Scored 7.7,153
The Lalit Mumbai,$182,Scored 7.8,1024
Ginger Mumbai Andheri (MIDC),$55,Scored 6.8,452
Treebo Anam International,$42,Scored 7.0,22
Peace International,$47,Scored 8.0,162
Regent Hotel,$103,Scored 7.3,183
